asset_id,asset_type,region,assessed_on,condition_score,install_year,rul_years,replacement_cost,notes,risk_score
R-1024,Road,West,27-06-2024,0.284,2007,1,1792136,Surface cracking,65.09
R-1025,Road,Central,26-04-2024,0.29,2012,4.8,1534506,Surface cracking,14.49
R-1026,Road,South,07-07-2024,0.502,2012,7,2460200,Surface cracking,7.01
B-1027,Building,Central,30-09-2023,0.271,2014,17,2722705,HVAC aging,4.26
B-1028,Building,East,31-07-2025,0.298,1981,1,4858700,HVAC aging,63.82
B-1029,Building,Central,08-03-2024,0.422,1983,1,2163580,Roof membrane wear,52.55
R-1030,Road,Central,28-04-2023,0.165,2011,2.2,1619828,Potholes forming,36.3
B-1031,Bridge,East,24-07-2023,0.328,2010,7.9,5520681,Joint wear,8.4
U-1032,Utility,East,11-01-2024,0.434,2014,6.4,592581,Insulation wear,8.71
U-1033,Utility,North,07-12-2024,0.15,2008,1,591031,Routine maintenance recommended,77.27
B-1034,Bridge,North,07-02-2024,0.188,1984,1,13109891,Scour risk noted,73.82
B-1035,Bridge,North,29-01-2024,0.326,1980,1,14349374,Corrosion observed,61.27
B-1036,Bridge,North,22-03-2023,0.49,1982,1,12267120,Scour risk noted,46.36
B-1037,Bridge,Central,27-05-2024,0.809,2011,14.5,17115808,Joint wear,1.31
B-1038,Bridge,West,29-06-2025,0.298,1995,1,9598343,Minor repairs needed,63.82
B-1039,Bridge,East,16-05-2023,0.15,1986,1,8457114,Minor repairs needed,77.27
U-1040,Utility,North,22-02-2025,0.15,2009,1,1492318,Valve leaks,77.27
R-1041,Road,South,05-02-2025,0.304,2001,1,1149304,Potholes forming,63.27
B-1042,Bridge,South,28-11-2023,0.729,2014,16,17129248,Minor repairs needed,1.68
U-1043,Utility,South,14-11-2023,0.15,1997,1,464585,Routine maintenance recommended,77.27
R-1044,Road,North,29-04-2025,0.332,2015,8.7,2582167,Potholes forming,7.59
R-1045,Road,West,14-05-2023,0.43,1995,1,802867,Surface cracking,51.82
U-1046,Utility,North,16-07-2025,0.261,1993,1,1519371,Routine maintenance recommended,67.18
B-1047,Bridge,East,19-12-2024,0.544,1980,1,11554574,Minor repairs needed,41.45
U-1048,Utility,South,10-06-2024,0.623,2007,1.8,1641557,Routine maintenance recommended,19.84
B-1049,Bridge,Central,03-07-2024,0.179,1993,1,5744596,Corrosion observed,74.64
R-1050,Road,Central,07-08-2024,0.485,1983,1,1783400,Potholes forming,46.82
U-1051,Utility,North,29-08-2025,0.473,2013,5.7,1613163,Insulation wear,9.09
R-1052,Road,South,19-11-2023,0.346,1984,1,1724347,Potholes forming,59.45
U-1053,Utility,Central,07-07-2023,0.218,2016,7,1205278,Insulation wear,11.01
R-1054,Road,East,20-04-2023,0.649,2006,3.3,2055837,Edge deterioration,10.32
B-1055,Bridge,West,08-08-2024,0.169,1995,1,10618125,Scour risk noted,75.55
B-1056,Bridge,North,10-07-2024,0.286,2009,6.3,12832743,Scour risk noted,11.16
R-1057,Road,North,30-05-2025,0.472,2016,10.8,1841883,Potholes forming,4.84
B-1058,Bridge,East,05-09-2025,0.496,1996,1,16334822,Joint wear,45.82
R-1059,Road,South,18-03-2024,0.627,2003,1,807257,Edge deterioration,33.91
U-1060,Utility,Central,15-07-2024,0.198,2013,3.1,787155,Valve leaks,25.06
B-1061,Building,North,04-06-2023,0.608,1988,1,7422304,Exterior paint peeling,35.64
R-1062,Road,Central,18-09-2023,0.405,1997,1,2429306,Edge deterioration,54.09
B-1063,Bridge,Central,06-10-2024,0.398,1993,1,10632406,Scour risk noted,54.73
U-1064,Utility,West,01-04-2024,0.378,1983,1,1194159,Valve leaks,56.55
B-1065,Building,South,02-02-2023,0.641,1980,1,3653334,Exterior paint peeling,32.64
B-1066,Building,Central,30-09-2023,0.161,2008,8.4,3153478,Good condition,9.87
R-1067,Road,Central,21-06-2023,0.15,1984,1,1610300,Surface cracking,77.27
R-1068,Road,West,29-11-2024,0.667,2017,13.1,1398436,Surface cracking,2.52
B-1069,Bridge,North,28-01-2023,0.487,1999,1,12270798,Scour risk noted,46.64
B-1070,Building,East,08-01-2024,0.625,1995,3,2535313,HVAC aging,12.1
U-1071,Utility,South,16-09-2023,0.556,1995,1,1619273,Insulation wear,40.36
U-1072,Utility,West,24-12-2022,0.321,1991,1,1633452,Pump degradation,61.73
B-1073,Bridge,West,03-05-2024,0.618,1990,1,13736469,Corrosion observed,34.73
R-1074,Road,West,24-06-2025,0.483,1994,1,1749305,Surface cracking,47
B-1075,Building,North,21-07-2024,0.277,1994,1,3833354,Roof membrane wear,65.73
B-1076,Bridge,North,28-01-2025,0.394,2001,1,15216576,Scour risk noted,55.09
B-1077,Building,Central,23-10-2024,0.201,2012,13.9,5934494,Good condition,5.71
B-1078,Building,South,30-12-2022,0.945,1987,5.5,3010654,Exterior paint peeling,0.98
B-1079,Building,East,21-01-2023,0.15,1986,1,7201192,Good condition,77.27
