Bridge_ID,Location,Age (years),Material,Length (m),Width (m),Height (m),Traffic_Volume (vehicles/day),Weather_Conditions,Water_Flow_Rate (m³/s),Maintenance_History,Stress (MPa),Strain (%),Tensile_Strength (MPa),Rainfall (mm),Material_Composition,Bridge_Design,Construction_Quality,Temperature (°C),Humidity (%),Collapse_Status
25,Region_5,41,Steel,54.68046805,5.108010801,10.2160216,123.7623762,Windy,12.00120012,25-01-2010,0.240024002,0.0240024,201.920192,1.200120012,"Steel 70%, Concrete 30%",Arch,Good,-29.8079808,0.240024002,Standing
26,Region_1,41,Concrete,54.87548755,5.112511251,10.2250225,124.7524752,Rainy,12.50125013,26-01-2010,0.250025003,0.0250025,202.0002,1.250125013,"Concrete 80%, Wood 20%",Beam,Good,-29.79998,0.250025003,Standing
27,Region_2,13,Wood,55.07050705,5.117011701,10.2340234,125.7425743,Sunny,13.00130013,27-01-2010,0.260026003,0.0260026,202.080208,1.300130013,"Concrete 80%, Wood 20%",Truss,Good,-29.7919792,0.260026003,Standing
28,Region_3,7,Steel,55.26552655,5.121512151,10.2430243,126.7326733,Snowy,13.50135014,28-01-2010,0.270027003,0.0270027,202.160216,1.350135014,"Steel 70%, Concrete 30%",Arch,Good,-29.7839784,0.270027003,Standing
29,Region_4,6,Concrete,55.46054605,5.126012601,10.2520252,127.7227723,Cloudy,14.00140014,29-01-2010,0.280028003,0.0280028,202.240224,1.400140014,"Concrete 80%, Wood 20%",Beam,Good,-29.7759776,0.280028003,Standing
30,Region_5,43,Wood,55.65556556,5.130513051,10.2610261,128.7128713,Windy,14.50145015,30-01-2010,0.290029003,0.0290029,202.320232,1.450145015,"Concrete 80%, Wood 20%",Truss,Good,-29.7679768,0.290029003,Standing
31,Region_1,2,Steel,55.85058506,5.135013501,10.270027,129.7029703,Rainy,15.00150015,31-01-2010,0.300030003,0.030003,202.40024,1.500150015,"Steel 70%, Concrete 30%",Arch,Good,-29.759976,0.300030003,Standing
32,Region_2,26,Concrete,56.04560456,5.139513951,10.2790279,130.6930693,Sunny,15.50155016,01-02-2010,0.310031003,0.0310031,202.480248,1.550155016,"Concrete 80%, Wood 20%",Beam,Good,-29.7519752,0.310031003,Standing
33,Region_3,4,Wood,56.24062406,5.144014401,10.2880288,131.6831683,Snowy,16.00160016,02-02-2010,0.320032003,0.0320032,202.560256,1.600160016,"Concrete 80%, Wood 20%",Truss,Good,-29.7439744,0.320032003,Standing
34,Region_4,49,Steel,56.43564356,5.148514851,10.2970297,132.6732673,Cloudy,16.50165017,03-02-2010,0.330033003,0.0330033,202.640264,1.650165017,"Steel 70%, Concrete 30%",Arch,Good,-29.7359736,0.330033003,Standing
35,Region_5,30,Concrete,56.63066307,5.153015302,10.3060306,133.6633663,Windy,17.00170017,04-02-2010,0.340034003,0.0340034,202.720272,1.700170017,"Concrete 80%, Wood 20%",Beam,Good,-29.7279728,0.340034003,Standing
36,Region_1,30,Wood,56.82568257,5.157515752,10.3150315,134.6534653,Rainy,17.50175018,05-02-2010,0.350035004,0.0350035,202.80028,1.750175018,"Concrete 80%, Wood 20%",Truss,Good,-29.719972,0.350035004,Standing
37,Region_2,3,Steel,57.02070207,5.162016202,10.3240324,135.6435644,Sunny,18.00180018,06-02-2010,0.360036004,0.0360036,202.880288,1.800180018,"Steel 70%, Concrete 30%",Arch,Good,-29.7119712,0.360036004,Standing
38,Region_3,38,Concrete,57.21572157,5.166516652,10.3330333,136.6336634,Snowy,18.50185019,07-02-2010,0.370037004,0.0370037,202.960296,1.850185019,"Concrete 80%, Wood 20%",Beam,Good,-29.7039704,0.370037004,Standing
39,Region_4,25,Wood,57.41074107,5.171017102,10.3420342,137.6237624,Cloudy,19.00190019,08-02-2010,0.380038004,0.0380038,203.040304,1.900190019,"Concrete 80%, Wood 20%",Truss,Good,-29.6959696,0.380038004,Standing
40,Region_5,47,Steel,57.60576058,5.175517552,10.3510351,138.6138614,Windy,19.5019502,09-02-2010,0.390039004,0.0390039,203.120312,1.95019502,"Steel 70%, Concrete 30%",Arch,Good,-29.6879688,0.390039004,Standing
41,Region_1,11,Concrete,57.80078008,5.180018002,10.360036,139.6039604,Rainy,20.0020002,10-02-2010,0.400040004,0.040004,203.20032,2.00020002,"Concrete 80%, Wood 20%",Beam,Good,-29.679968,0.400040004,Standing
42,Region_2,39,Wood,57.99579958,5.184518452,10.3690369,140.5940594,Sunny,20.50205021,11-02-2010,0.410041004,0.0410041,203.280328,2.050205021,"Concrete 80%, Wood 20%",Truss,Good,-29.6719672,0.410041004,Standing
43,Region_3,38,Steel,58.19081908,5.189018902,10.3780378,141.5841584,Snowy,21.00210021,12-02-2010,0.420042004,0.0420042,203.360336,2.100210021,"Steel 70%, Concrete 30%",Arch,Good,-29.6639664,0.420042004,Standing
44,Region_4,42,Concrete,58.38583858,5.193519352,10.3870387,142.5742574,Cloudy,21.50215022,13-02-2010,0.430043004,0.0430043,203.440344,2.150215022,"Concrete 80%, Wood 20%",Beam,Good,-29.6559656,0.430043004,Standing
45,Region_5,12,Wood,58.58085809,5.198019802,10.3960396,143.5643564,Windy,22.00220022,14-02-2010,0.440044004,0.0440044,203.520352,2.200220022,"Concrete 80%, Wood 20%",Truss,Good,-29.6479648,0.440044004,Standing
46,Region_1,17,Steel,58.77587759,5.202520252,10.4050405,144.5544554,Rainy,22.50225023,15-02-2010,0.450045005,0.0450045,203.60036,2.250225023,"Steel 70%, Concrete 30%",Arch,Good,-29.639964,0.450045005,Standing
47,Region_2,18,Concrete,58.97089709,5.207020702,10.4140414,145.5445545,Sunny,23.00230023,16-02-2010,0.460046005,0.0460046,203.680368,2.300230023,"Concrete 80%, Wood 20%",Beam,Good,-29.6319632,0.460046005,Standing
48,Region_3,8,Wood,59.16591659,5.211521152,10.4230423,146.5346535,Snowy,23.50235024,17-02-2010,0.470047005,0.0470047,203.760376,2.350235024,"Concrete 80%, Wood 20%",Truss,Good,-29.6239624,0.470047005,Standing
49,Region_4,30,Steel,59.36093609,5.216021602,10.4320432,147.5247525,Cloudy,24.00240024,18-02-2010,0.480048005,0.0480048,203.840384,2.400240024,"Steel 70%, Concrete 30%",Arch,Good,-29.6159616,0.480048005,Standing
50,Region_5,27,Concrete,59.5559556,5.220522052,10.4410441,148.5148515,Windy,24.50245025,19-02-2010,0.490049005,0.0490049,203.920392,2.450245025,"Concrete 80%, Wood 20%",Beam,Good,-29.6079608,0.490049005,Standing
51,Region_1,3,Wood,59.7509751,5.225022502,10.450045,149.5049505,Rainy,25.00250025,20-02-2010,0.500050005,0.050005001,204.0004,2.500250025,"Concrete 80%, Wood 20%",Truss,Good,-29.59996,0.500050005,Standing
52,Region_2,43,Steel,59.9459946,5.229522952,10.4590459,150.4950495,Sunny,25.50255026,21-02-2010,0.510051005,0.051005101,204.080408,2.550255026,"Steel 70%, Concrete 30%",Arch,Good,-29.5919592,0.510051005,Standing
53,Region_3,36,Concrete,60.1410141,5.234023402,10.4680468,151.4851485,Snowy,26.00260026,22-02-2010,0.520052005,0.052005201,204.160416,2.600260026,"Concrete 80%, Wood 20%",Beam,Good,-29.5839584,0.520052005,Standing
54,Region_4,29,Wood,60.3360336,5.238523852,10.4770477,152.4752475,Cloudy,26.50265027,23-02-2010,0.530053005,0.053005301,204.240424,2.650265027,"Concrete 80%, Wood 20%",Truss,Good,-29.5759576,0.530053005,Standing
55,Region_5,48,Steel,60.53105311,5.243024302,10.4860486,153.4653465,Windy,27.00270027,24-02-2010,0.540054005,0.054005401,204.320432,2.700270027,"Steel 70%, Concrete 30%",Arch,Good,-29.5679568,0.540054005,Standing
56,Region_1,5,Concrete,60.72607261,5.247524752,10.4950495,154.4554455,Rainy,27.50275028,25-02-2010,0.550055006,0.055005501,204.40044,2.750275028,"Concrete 80%, Wood 20%",Beam,Good,-29.559956,0.550055006,Standing
57,Region_2,39,Wood,60.92109211,5.252025203,10.50405041,155.4455446,Sunny,28.00280028,26-02-2010,0.560056006,0.056005601,204.480448,2.800280028,"Concrete 80%, Wood 20%",Truss,Good,-29.5519552,0.560056006,Standing
58,Region_3,20,Steel,61.11611161,5.256525653,10.51305131,156.4356436,Snowy,28.50285029,27-02-2010,0.570057006,0.057005701,204.560456,2.850285029,"Steel 70%, Concrete 30%",Arch,Good,-29.5439544,0.570057006,Standing
59,Region_4,36,Concrete,61.31113111,5.261026103,10.52205221,157.4257426,Cloudy,29.00290029,28-02-2010,0.580058006,0.058005801,204.640464,2.900290029,"Concrete 80%, Wood 20%",Beam,Good,-29.5359536,0.580058006,Standing
60,Region_5,18,Wood,61.50615062,5.265526553,10.53105311,158.4158416,Windy,29.5029503,01-03-2010,0.590059006,0.059005901,204.720472,2.95029503,"Concrete 80%, Wood 20%",Truss,Good,-29.5279528,0.590059006,Standing
61,Region_1,44,Steel,61.70117012,5.270027003,10.54005401,159.4059406,Rainy,30.0030003,02-03-2010,0.600060006,0.060006001,204.80048,3.00030003,"Steel 70%, Concrete 30%",Arch,Good,-29.519952,0.600060006,Standing
62,Region_2,16,Concrete,61.89618962,5.274527453,10.54905491,160.3960396,Sunny,30.50305031,03-03-2010,0.610061006,0.061006101,204.880488,3.050305031,"Concrete 80%, Wood 20%",Beam,Good,-29.5119512,0.610061006,Standing
63,Region_3,10,Wood,62.09120912,5.279027903,10.55805581,161.3861386,Snowy,31.00310031,04-03-2010,0.620062006,0.062006201,204.960496,3.100310031,"Concrete 80%, Wood 20%",Truss,Good,-29.5039504,0.620062006,Standing
64,Region_4,16,Steel,62.28622862,5.283528353,10.56705671,162.3762376,Cloudy,31.50315032,05-03-2010,0.630063006,0.063006301,205.0405041,3.150315032,"Steel 70%, Concrete 30%",Arch,Good,-29.49594959,0.630063006,Standing
65,Region_5,4,Concrete,62.48124812,5.288028803,10.57605761,163.3663366,Windy,32.00320032,06-03-2010,0.640064006,0.064006401,205.1205121,3.200320032,"Concrete 80%, Wood 20%",Beam,Good,-29.48794879,0.640064006,Standing
66,Region_1,1,Wood,62.67626763,5.292529253,10.58505851,164.3564356,Rainy,32.50325033,07-03-2010,0.650065007,0.065006501,205.2005201,3.250325033,"Concrete 80%, Wood 20%",Truss,Good,-29.47994799,0.650065007,Standing
67,Region_2,37,Steel,62.87128713,5.297029703,10.59405941,165.3465347,Sunny,33.00330033,08-03-2010,0.660066007,0.066006601,205.2805281,3.300330033,"Steel 70%, Concrete 30%",Arch,Good,-29.47194719,0.660066007,Standing
68,Region_3,4,Concrete,63.06630663,5.301530153,10.60306031,166.3366337,Snowy,33.50335034,09-03-2010,0.670067007,0.067006701,205.3605361,3.350335034,"Concrete 80%, Wood 20%",Beam,Good,-29.46394639,0.670067007,Standing
69,Region_4,23,Wood,63.26132613,5.306030603,10.61206121,167.3267327,Cloudy,34.00340034,10-03-2010,0.680068007,0.068006801,205.4405441,3.400340034,"Concrete 80%, Wood 20%",Truss,Good,-29.45594559,0.680068007,Standing
70,Region_5,23,Steel,63.45634563,5.310531053,10.62106211,168.3168317,Windy,34.50345035,11-03-2010,0.690069007,0.069006901,205.5205521,3.450345035,"Steel 70%, Concrete 30%",Arch,Good,-29.44794479,0.690069007,Standing
71,Region_1,36,Concrete,63.65136514,5.315031503,10.63006301,169.3069307,Rainy,35.00350035,12-03-2010,0.700070007,0.070007001,205.6005601,3.500350035,"Concrete 80%, Wood 20%",Beam,Good,-29.43994399,0.700070007,Standing
72,Region_2,22,Wood,63.84638464,5.319531953,10.63906391,170.2970297,Sunny,35.50355036,13-03-2010,0.710071007,0.071007101,205.6805681,3.550355036,"Concrete 80%, Wood 20%",Truss,Good,-29.43194319,0.710071007,Standing
73,Region_3,21,Steel,64.04140414,5.324032403,10.64806481,171.2871287,Snowy,36.00360036,14-03-2010,0.720072007,0.072007201,205.7605761,3.600360036,"Steel 70%, Concrete 30%",Arch,Good,-29.42394239,0.720072007,Standing
74,Region_4,12,Concrete,64.23642364,5.328532853,10.65706571,172.2772277,Cloudy,36.50365037,15-03-2010,0.730073007,0.073007301,205.8405841,3.650365037,"Concrete 80%, Wood 20%",Beam,Good,-29.41594159,0.730073007,Standing
75,Region_5,34,Wood,64.43144314,5.333033303,10.66606661,173.2673267,Windy,37.00370037,16-03-2010,0.740074007,0.074007401,205.9205921,3.700370037,"Concrete 80%, Wood 20%",Truss,Good,-29.40794079,0.740074007,Standing
76,Region_1,20,Steel,64.62646265,5.337533753,10.67506751,174.2574257,Rainy,37.50375038,17-03-2010,0.750075008,0.075007501,206.0006001,3.750375038,"Steel 70%, Concrete 30%",Arch,Good,-29.39993999,0.750075008,Standing
77,Region_2,37,Concrete,64.82148215,5.342034203,10.68406841,175.2475248,Sunny,38.00380038,18-03-2010,0.760076008,0.076007601,206.0806081,3.800380038,"Concrete 80%, Wood 20%",Beam,Good,-29.39193919,0.760076008,Standing
78,Region_3,24,Wood,65.01650165,5.346534653,10.69306931,176.2376238,Snowy,38.50385039,19-03-2010,0.770077008,0.077007701,206.1606161,3.850385039,"Concrete 80%, Wood 20%",Truss,Good,-29.38393839,0.770077008,Standing
79,Region_4,1,Steel,65.21152115,5.351035104,10.70207021,177.2277228,Cloudy,39.00390039,20-03-2010,0.780078008,0.078007801,206.2406241,3.900390039,"Steel 70%, Concrete 30%",Arch,Good,-29.37593759,0.780078008,Standing
80,Region_5,18,Concrete,65.40654065,5.355535554,10.71107111,178.2178218,Windy,39.5039504,21-03-2010,0.790079008,0.079007901,206.3206321,3.95039504,"Concrete 80%, Wood 20%",Beam,Good,-29.36793679,0.790079008,Standing
81,Region_1,19,Wood,65.60156016,5.360036004,10.72007201,179.2079208,Rainy,40.0040004,22-03-2010,0.800080008,0.080008001,206.4006401,4.00040004,"Concrete 80%, Wood 20%",Truss,Good,-29.35993599,0.800080008,Standing
82,Region_2,32,Steel,65.79657966,5.364536454,10.72907291,180.1980198,Sunny,40.50405041,23-03-2010,0.810081008,0.081008101,206.4806481,4.050405041,"Steel 70%, Concrete 30%",Arch,Good,-29.35193519,0.810081008,Standing
83,Region_3,10,Concrete,65.99159916,5.369036904,10.73807381,181.1881188,Snowy,41.00410041,24-03-2010,0.820082008,0.082008201,206.5606561,4.100410041,"Concrete 80%, Wood 20%",Beam,Good,-29.34393439,0.820082008,Standing
84,Region_4,16,Wood,66.18661866,5.373537354,10.74707471,182.1782178,Cloudy,41.50415042,25-03-2010,0.830083008,0.083008301,206.6406641,4.150415042,"Concrete 80%, Wood 20%",Truss,Good,-29.33593359,0.830083008,Standing
85,Region_5,21,Steel,66.38163816,5.378037804,10.75607561,183.1683168,Windy,42.00420042,26-03-2010,0.840084008,0.084008401,206.7206721,4.200420042,"Steel 70%, Concrete 30%",Arch,Good,-29.32793279,0.840084008,Standing
86,Region_1,25,Concrete,66.57665767,5.382538254,10.76507651,184.1584158,Rainy,42.50425043,27-03-2010,0.850085009,0.085008501,206.8006801,4.250425043,"Concrete 80%, Wood 20%",Beam,Good,-29.31993199,0.850085009,Standing
87,Region_2,28,Wood,66.77167717,5.387038704,10.77407741,185.1485149,Sunny,43.00430043,28-03-2010,0.860086009,0.086008601,206.8806881,4.300430043,"Concrete 80%, Wood 20%",Truss,Good,-29.31193119,0.860086009,Standing
88,Region_3,32,Steel,66.96669667,5.391539154,10.78307831,186.1386139,Snowy,43.50435044,29-03-2010,0.870087009,0.087008701,206.9606961,4.350435044,"Steel 70%, Concrete 30%",Arch,Good,-29.30393039,0.870087009,Standing
89,Region_4,14,Concrete,67.16171617,5.396039604,10.79207921,187.1287129,Cloudy,44.00440044,30-03-2010,0.880088009,0.088008801,207.0407041,4.400440044,"Concrete 80%, Wood 20%",Beam,Good,-29.29592959,0.880088009,Standing
90,Region_5,26,Wood,67.35673567,5.400540054,10.80108011,188.1188119,Windy,44.50445045,31-03-2010,0.890089009,0.089008901,207.1207121,4.450445045,"Concrete 80%, Wood 20%",Truss,Good,-29.28792879,0.890089009,Standing
91,Region_1,31,Steel,67.55175518,5.405040504,10.81008101,189.1089109,Rainy,45.00450045,01-04-2010,0.900090009,0.090009001,207.2007201,4.500450045,"Steel 70%, Concrete 30%",Arch,Good,-29.27992799,0.900090009,Standing
92,Region_2,44,Concrete,67.74677468,5.409540954,10.81908191,190.0990099,Sunny,45.50455046,02-04-2010,0.910091009,0.091009101,207.2807281,4.550455046,"Concrete 80%, Wood 20%",Beam,Good,-29.27192719,0.910091009,Standing
93,Region_3,47,Wood,67.94179418,5.414041404,10.82808281,191.0891089,Snowy,46.00460046,03-04-2010,0.920092009,0.092009201,207.3607361,4.600460046,"Concrete 80%, Wood 20%",Truss,Good,-29.26392639,0.920092009,Standing
94,Region_4,28,Steel,68.13681368,5.418541854,10.83708371,192.0792079,Cloudy,46.50465047,04-04-2010,0.930093009,0.093009301,207.4407441,4.650465047,"Steel 70%, Concrete 30%",Arch,Good,-29.25592559,0.930093009,Standing
95,Region_5,33,Concrete,68.33183318,5.423042304,10.84608461,193.0693069,Windy,47.00470047,05-04-2010,0.940094009,0.094009401,207.5207521,4.700470047,"Concrete 80%, Wood 20%",Beam,Good,-29.24792479,0.940094009,Standing
96,Region_1,48,Wood,68.52685269,5.427542754,10.85508551,194.0594059,Rainy,47.50475048,06-04-2010,0.95009501,0.095009501,207.6007601,4.750475048,"Concrete 80%, Wood 20%",Truss,Good,-29.23992399,0.95009501,Standing
97,Region_2,41,Steel,68.72187219,5.432043204,10.86408641,195.049505,Sunny,48.00480048,07-04-2010,0.96009601,0.096009601,207.6807681,4.800480048,"Steel 70%, Concrete 30%",Arch,Good,-29.23192319,0.96009601,Standing
98,Region_3,14,Concrete,68.91689169,5.436543654,10.87308731,196.039604,Snowy,48.50485049,08-04-2010,0.97009701,0.097009701,207.7607761,4.850485049,"Concrete 80%, Wood 20%",Beam,Good,-29.22392239,0.97009701,Standing
99,Region_4,0,Wood,69.11191119,5.441044104,10.88208821,197.029703,Cloudy,49.00490049,09-04-2010,0.98009801,0.098009801,207.8407841,4.900490049,"Concrete 80%, Wood 20%",Truss,Good,-29.21592159,0.98009801,Standing
100,Region_5,35,Steel,69.30693069,5.445544554,10.89108911,198.019802,Windy,49.5049505,10-04-2010,0.99009901,0.099009901,207.9207921,4.95049505,"Steel 70%, Concrete 30%",Arch,Good,-29.20792079,0.99009901,Standing
101,Region_1,32,Concrete,69.5019502,5.450045005,10.90009001,199.009901,Rainy,50.0050005,11-04-2010,1.00010001,0.100010001,208.0008001,5.00050005,"Concrete 80%, Wood 20%",Beam,Good,-29.19991999,1.00010001,Standing
102,Region_2,9,Wood,69.6969697,5.454545455,10.90909091,200,Sunny,50.50505051,12-04-2010,1.01010101,0.101010101,208.0808081,5.050505051,"Concrete 80%, Wood 20%",Truss,Good,-29.19191919,1.01010101,Standing
103,Region_3,11,Steel,69.8919892,5.459045905,10.91809181,200.990099,Snowy,51.00510051,13-04-2010,1.02010201,0.102010201,208.1608161,5.100510051,"Steel 70%, Concrete 30%",Arch,Good,-29.18391839,1.02010201,Standing
104,Region_4,22,Concrete,70.0870087,5.463546355,10.92709271,201.980198,Cloudy,51.50515052,14-04-2010,1.03010301,0.103010301,208.2408241,5.150515052,"Concrete 80%, Wood 20%",Beam,Good,-29.17591759,1.03010301,Standing
105,Region_5,32,Wood,70.2820282,5.468046805,10.93609361,202.970297,Windy,52.00520052,15-04-2010,1.04010401,0.104010401,208.3208321,5.200520052,"Concrete 80%, Wood 20%",Truss,Good,-29.16791679,1.04010401,Standing
106,Region_1,15,Steel,70.4770477,5.472547255,10.94509451,203.960396,Rainy,52.50525053,16-04-2010,1.050105011,0.105010501,208.4008401,5.250525053,"Steel 70%, Concrete 30%",Arch,Good,-29.15991599,1.050105011,Standing
107,Region_2,44,Concrete,70.67206721,5.477047705,10.95409541,204.950495,Sunny,53.00530053,17-04-2010,1.060106011,0.106010601,208.4808481,5.300530053,"Concrete 80%, Wood 20%",Beam,Good,-29.15191519,1.060106011,Standing
108,Region_3,10,Wood,70.86708671,5.481548155,10.96309631,205.9405941,Snowy,53.50535054,18-04-2010,1.070107011,0.107010701,208.5608561,5.350535054,"Concrete 80%, Wood 20%",Truss,Good,-29.14391439,1.070107011,Standing
109,Region_4,19,Steel,71.06210621,5.486048605,10.97209721,206.9306931,Cloudy,54.00540054,19-04-2010,1.080108011,0.108010801,208.6408641,5.400540054,"Steel 70%, Concrete 30%",Arch,Good,-29.13591359,1.080108011,Standing
110,Region_5,3,Concrete,71.25712571,5.490549055,10.98109811,207.9207921,Windy,54.50545055,20-04-2010,1.090109011,0.109010901,208.7208721,5.450545055,"Concrete 80%, Wood 20%",Beam,Good,-29.12791279,1.090109011,Standing
111,Region_1,16,Wood,71.45214521,5.495049505,10.99009901,208.9108911,Rainy,55.00550055,21-04-2010,1.100110011,0.110011001,208.8008801,5.500550055,"Concrete 80%, Wood 20%",Truss,Good,-29.11991199,1.100110011,Standing
112,Region_2,36,Steel,71.64716472,5.499549955,10.99909991,209.9009901,Sunny,55.50555056,22-04-2010,1.110111011,0.111011101,208.8808881,5.550555056,"Steel 70%, Concrete 30%",Arch,Good,-29.11191119,1.110111011,Standing
113,Region_3,25,Concrete,71.84218422,5.504050405,11.00810081,210.8910891,Snowy,56.00560056,23-04-2010,1.120112011,0.112011201,208.9608961,5.600560056,"Concrete 80%, Wood 20%",Beam,Good,-29.10391039,1.120112011,Standing
114,Region_4,6,Wood,72.03720372,5.508550855,11.01710171,211.8811881,Cloudy,56.50565057,24-04-2010,1.130113011,0.113011301,209.0409041,5.650565057,"Concrete 80%, Wood 20%",Truss,Good,-29.09590959,1.130113011,Standing
115,Region_5,48,Steel,72.23222322,5.513051305,11.02610261,212.8712871,Windy,57.00570057,25-04-2010,1.140114011,0.114011401,209.1209121,5.700570057,"Steel 70%, Concrete 30%",Arch,Good,-29.08790879,1.140114011,Standing
